Position, Nose, Neck, RShoulder, RElbow, RWrist, LShoulder, LElbow, LWrist, MidHip, RHip, RKnee, RAnkle, LHip, LKnee, LAnkle, REye, LEye, REar
sitting,"[0.6157407407407407,0.23369565217391305]","[0.6111111111111112,0.33152173913043476]","[0.5509259259259259,0.34782608695652173]","[0.5324074074074074,0.4782608695652174]","[0.5740740740740741,0.5]","[0.6712962962962963,0.31521739130434784]","[0.6944444444444444,0.42391304347826086]","[0.7083333333333334,0.47282608695652173]","[0.5787037037037037,0.5706521739130435]","[0.49074074074074076,0.5543478260869565]","[0.4722222222222222,0.7771739130434783]","[0.6435185185185185,0.5760869565217391]","[0.6342592592592593,0.625]","[0.6203703703703703,0.8260869565217391]","[0.6018518518518519,0.21195652173913043]","[0.625,0.21195652173913043]","[0.5787037037037037,0.22282608695652173]",
laying,"[0.4305555555555556,0.18478260869565216]","[0.4583333333333333,0.21739130434782608]","[0.47685185185185186,0.21739130434782608]","[0.49537037037037035,0.32065217391304346]",null,"[0.4398148148148148,0.21195652173913043]","[0.4444444444444444,0.3423913043478261]",null,"[0.4444444444444444,0.43478260869565216]",null,null,"[0.4305555555555556,0.4076086956521739]",null,null,null,"[0.4305555555555556,0.17391304347826086]",null,
sitting,"[0.4398148148148148,0.375]","[0.4722222222222222,0.4891304347826087]","[0.4212962962962963,0.4945652173913043]","[0.4166666666666667,0.657608695652174]","[0.4027777777777778,0.75]","[0.5231481481481481,0.4782608695652174]","[0.5601851851851852,0.6847826086956522]","[0.5416666666666666,0.8478260869565217]","[0.4722222222222222,0.7336956521739131]","[0.4212962962962963,0.8043478260869565]",null,"[0.5277777777777778,0.7445652173913043]","[0.4583333333333333,0.7989130434782609]",null,"[0.4351851851851852,0.358695652173913]","[0.4583333333333333,0.358695652173913]",null,
standing,"[0.5138888888888888,0.17391304347826086]","[0.5092592592592593,0.27717391304347827]","[0.4675925925925926,0.27717391304347827]","[0.4398148148148148,0.3804347826086957]","[0.4074074074074074,0.3423913043478261]","[0.5555555555555556,0.27717391304347827]","[0.5694444444444444,0.3858695652173913]","[0.5185185185185185,0.3641304347826087]","[0.48148148148148145,0.5217391304347826]","[0.5,0.6902173913043478]","[0.5231481481481481,0.8532608695652174]","[0.5370370370370371,0.5271739130434783]","[0.5416666666666666,0.6902173913043478]","[0.5555555555555556,0.8695652173913043]","[0.5046296296296297,0.16304347826086957]","[0.5231481481481481,0.16847826086956522]","[0.49074074074074076,0.1793478260869565]",
sitting,"[0.6064814814814815,0.15760869565217392]","[0.6435185185185185,0.28804347826086957]","[0.5879629629629629,0.30434782608695654]","[0.5555555555555556,0.45108695652173914]","[0.5462962962962963,0.4782608695652174]","[0.7129629629629629,0.27717391304347827]","[0.7361111111111112,0.3804347826086957]",null,"[0.5879629629629629,0.5543478260869565]",null,null,"[0.6759259259259259,0.5380434782608695]",null,null,"[0.5925925925925926,0.14130434782608695]","[0.6203703703703703,0.13043478260869565]",null,
sitting,"[0.5787037037037037,0.14130434782608695]","[0.5833333333333334,0.25]","[0.5324074074074074,0.22826086956521738]",null,null,"[0.6342592592592593,0.2717391304347826]","[0.6666666666666666,0.42934782608695654]","[0.6759259259259259,0.5706521739130435]","[0.5185185185185185,0.5108695652173914]","[0.41203703703703703,0.5978260869565217]","[0.39351851851851855,0.8641304347826086]","[0.5879629629629629,0.5434782608695652]","[0.47685185185185186,0.6358695652173914]","[0.4537037037037037,0.9293478260869565]","[0.5648148148148148,0.11956521739130435]","[0.5925925925925926,0.11413043478260869]","[0.5509259259259259,0.1358695652173913]",
standing,"[0.4351851851851852,0.15760869565217392]","[0.37962962962962965,0.2391304347826087]","[0.33796296296296297,0.22826086956521738]","[0.30092592592592593,0.3858695652173913]","[0.3287037037037037,0.483695652173913]","[0.42592592592592593,0.24456521739130435]","[0.4537037037037037,0.3804347826086957]","[0.46296296296296297,0.5217391304347826]","[0.37962962962962965,0.5434782608695652]","[0.39814814814814814,0.75]","[0.4166666666666667,0.9184782608695652]","[0.4351851851851852,0.5380434782608695]","[0.4444444444444444,0.75]","[0.4398148148148148,0.9130434782608695]","[0.42592592592592593,0.14130434782608695]","[0.4351851851851852,0.14130434782608695]","[0.3888888888888889,0.14673913043478262]",
laying,"[0.35648148148148145,0.4076086956521739]","[0.39351851851851855,0.5]","[0.3101851851851852,0.5163043478260869]",null,null,"[0.49537037037037035,0.43478260869565216]","[0.5787037037037037,0.5217391304347826]","[0.46296296296296297,0.6195652173913043]","[0.375,0.7608695652173914]",null,null,null,null,null,"[0.3333333333333333,0.3695652173913043]","[0.37962962962962965,0.3641304347826087]",null,
sitting,"[0.5370370370370371,0.2391304347826087]","[0.5833333333333334,0.31521739130434784]","[0.5,0.33152173913043476]",null,null,"[0.6620370370370371,0.30434782608695654]","[0.7638888888888888,0.5597826086956522]",null,"[0.6111111111111112,0.6902173913043478]",null,null,"[0.6805555555555556,0.717391304347826]","[0.6342592592592593,0.7717391304347826]",null,"[0.5046296296296297,0.21739130434782608]","[0.5462962962962963,0.1956521739130435]","[0.48148148148148145,0.22282608695652173]",
sitting,"[0.5833333333333334,0.43478260869565216]","[0.5740740740740741,0.5163043478260869]","[0.5370370370370371,0.5217391304347826]","[0.46296296296296297,0.5978260869565217]","[0.5231481481481481,0.6032608695652174]","[0.6111111111111112,0.5163043478260869]","[0.6574074074074074,0.5869565217391305]","[0.6018518518518519,0.6141304347826086]","[0.5555555555555556,0.6847826086956522]","[0.5,0.8260869565217391]","[0.5555555555555556,0.8695652173913043]","[0.5972222222222222,0.6902173913043478]","[0.5694444444444444,0.7989130434782609]",null,"[0.5694444444444444,0.42391304347826086]","[0.5925925925925926,0.41847826086956524]","[0.5509259259259259,0.44021739130434784]",
laying,"[0.6990740740740741,0.41304347826086957]","[0.7453703703703703,0.483695652173913]","[0.7175925925925926,0.5054347826086957]","[0.6944444444444444,0.5815217391304348]","[0.6712962962962963,0.5869565217391305]","[0.7777777777777778,0.45652173913043476]","[0.7407407407407407,0.625]",null,"[0.7268518518518519,0.6467391304347826]",null,null,"[0.7592592592592593,0.6521739130434783]",null,null,"[0.6851851851851852,0.3967391304347826]","[0.7129629629629629,0.391304347826087]",null,
standing,"[0.4675925925925926,0.08152173913043478]","[0.4675925925925926,0.18478260869565216]","[0.4166666666666667,0.1793478260869565]","[0.3472222222222222,0.21195652173913043]","[0.375,0.2391304347826087]","[0.5185185185185185,0.18478260869565216]","[0.5879629629629629,0.20652173913043478]","[0.5462962962962963,0.2554347826086957]","[0.4305555555555556,0.46195652173913043]","[0.4305555555555556,0.7065217391304348]","[0.4305555555555556,0.8913043478260869]","[0.49537037037037035,0.46195652173913043]","[0.5092592592592593,0.7119565217391305]","[0.5185185185185185,0.8967391304347826]","[0.4583333333333333,0.06521739130434782]","[0.48148148148148145,0.07065217391304347]","[0.4444444444444444,0.08695652173913043]",
standing,"[0.7314814814814815,0.22282608695652173]","[0.7546296296296297,0.266304347826087]","[0.7361111111111112,0.266304347826087]","[0.7037037037037037,0.2391304347826087]","[0.6851851851851852,0.19021739130434784]","[0.7777777777777778,0.266304347826087]","[0.7222222222222222,0.266304347826087]","[0.6990740740740741,0.21739130434782608]","[0.7175925925925926,0.44565217391304346]","[0.7268518518518519,0.5869565217391305]","[0.7361111111111112,0.717391304347826]","[0.75,0.44565217391304346]","[0.7592592592592593,0.5869565217391305]","[0.7638888888888888,0.7228260869565217]","[0.7314814814814815,0.21195652173913043]","[0.7407407407407407,0.20652173913043478]",null,
sitting,"[0.5370370370370371,0.1793478260869565]","[0.5648148148148148,0.30978260869565216]","[0.5277777777777778,0.28804347826086957]","[0.5,0.42391304347826086]","[0.4861111111111111,0.4673913043478261]","[0.6018518518518519,0.32608695652173914]","[0.6296296296296297,0.5163043478260869]","[0.5694444444444444,0.5489130434782609]","[0.5046296296296297,0.5597826086956522]","[0.4074074074074074,0.5760869565217391]","[0.37962962962962965,0.8369565217391305]","[0.5740740740740741,0.6141304347826086]","[0.42592592592592593,0.6304347826086957]","[0.38425925925925924,0.8586956521739131]","[0.5277777777777778,0.15760869565217392]","[0.5555555555555556,0.15217391304347827]",null,
laying,"[0.16203703703703703,0.3858695652173913]","[0.1111111111111111,0.5489130434782609]","[0.08333333333333333,0.5597826086956522]","[0.13425925925925927,0.8260869565217391]","[0.23148148148148148,0.5869565217391305]","[0.12962962962962962,0.5163043478260869]",null,null,null,null,null,null,null,null,"[0.13425925925925927,0.3695652173913043]","[0.1574074074074074,0.358695652173913]","[0.0787037037037037,0.40217391304347827]",
standing,"[0.49074074074074076,0.2608695652173913]","[0.49537037037037035,0.32608695652173914]","[0.44907407407407407,0.32608695652173914]","[0.42592592592592593,0.45652173913043476]","[0.39351851851851855,0.5543478260869565]","[0.5370370370370371,0.32608695652173914]","[0.5509259259259259,0.47282608695652173]","[0.5046296296296297,0.5815217391304348]","[0.4722222222222222,0.5108695652173914]","[0.4212962962962963,0.5815217391304348]","[0.36574074074074076,0.7445652173913043]","[0.5324074074074074,0.5271739130434783]","[0.6064814814814815,0.625]","[0.6388888888888888,0.7336956521739131]","[0.48148148148148145,0.25]","[0.5,0.24456521739130435]","[0.4675925925925926,0.25]",
standing,"[0.46296296296296297,0.3967391304347826]","[0.46296296296296297,0.41304347826086957]","[0.4351851851851852,0.43478260869565216]","[0.44907407407407407,0.5163043478260869]","[0.48148148148148145,0.5869565217391305]","[0.49537037037037035,0.3967391304347826]","[0.5046296296296297,0.4782608695652174]","[0.5,0.5815217391304348]","[0.4537037037037037,0.5597826086956522]","[0.46296296296296297,0.7119565217391305]","[0.4583333333333333,0.8478260869565217]","[0.48148148148148145,0.5489130434782609]","[0.5046296296296297,0.717391304347826]","[0.5138888888888888,0.8532608695652174]","[0.4583333333333333,0.391304347826087]","[0.46296296296296297,0.3858695652173913]","[0.4444444444444444,0.391304347826087]",
